#{"t_start": 1764232152.7326164, "env_id": "None"}
r,l,t
135.69144,484,108.522568
-335.02042,588,108.920495
-200.0,1,108.924504
-317.9697,587,109.34698
-200.0,1,109.351165
-314.02835,355,109.607309
-200.0,1,109.611972
-791.4389,1573,110.690819
-200.0,1,110.695123
-244.34471,287,110.8846
-200.0,1,110.889221
-641.75354,1202,111.655149
-200.0,1,111.659739
-241.57173,242,111.851546
-200.0,1,111.856227
-303.93912,483,112.222764
-200.0,1,112.226979
-335.0643,416,112.481938
-200.0,1,112.485588
-369.28815,631,112.91169
-200.0,1,112.917151
-420.84702,930,113.528485
-200.0,1,113.532458
-259.89258,291,113.736672
-200.0,1,113.740098
-200.0,1,113.743432
-423.1626,679,114.175494
-200.0,1,114.179388
-277.01672,292,114.358377
-200.0,1,114.362762
-315.7035,672,114.791802
-200.0,1,114.796777
-537.8131,996,115.517266
-200.0,1,115.521618
-288.31976,312,115.732566
-200.0,1,115.736995
-764.88776,1598,116.846892
-200.0,1,116.852071
124.996735,715,117.449663
-272.64926,266,117.653568
-200.0,1,117.65917
-491.90427,952,118.401843
-200.0,1,118.409633
-451.39734,772,119.015314
-200.0,1,119.019957
-323.06128,386,119.329616
-200.0,1,119.336486
178.05977,294,119.534583
-397.94897,556,119.963753
-200.0,1,119.967666
-314.3413,647,120.42595
-200.0,1,120.431573
-600.4076,1345,121.493398
-200.0,1,121.498604
-273.54193,331,121.722921
-200.0,1,121.726799
-200.0,1,121.730473
-287.21777,318,122.007562
-200.0,1,122.013862
-526.7852,1051,122.756894
-200.0,1,122.761719
-200.0,1,122.76579
-251.38345,295,123.00077
-200.0,1,123.005082
-237.74756,242,123.219098
-200.0,1,123.222861
-371.21634,566,123.647585
-200.0,1,123.65263
-269.15503,284,123.843144
-200.0,1,123.846901
-325.9007,400,124.098843
-200.0,1,124.103586
-365.47803,523,124.499148
-200.0,1,124.504064
34.851227,915,125.131214
-387.38498,639,125.638391
-200.0,1,125.644823
-239.27246,231,125.830821
-200.0,1,125.835539
-282.52145,309,126.042853
-200.0,1,126.047208
-290.4384,561,126.431888
-294.54767,552,126.841885
-399.8568,684,127.367565
-200.0,1,127.371464
-249.5813,257,127.567222
-200.0,1,127.572379
148.55795,319,127.803994
-293.92825,532,128.239097
-200.0,1,128.243876
-255.40767,257,128.43292
-200.0,1,128.43706
-471.9145,814,128.963997
-200.0,1,128.969581
-449.44843,778,129.459903
-200.0,1,129.464722
-267.58804,313,129.675698
-200.0,1,129.679596
-273.67322,431,130.05803
-200.0,1,130.062201
-272.01404,543,130.444152
-200.0,1,130.448005
-272.86484,265,130.623057
-200.0,1,130.626899
-200.0,1,130.631339
-374.75476,563,131.000068
-200.0,1,131.005347
-344.85138,576,131.438128
-291.9618,307,131.652324
-200.0,1,131.657096
-447.64166,706,132.126714
-200.0,1,132.131637
-279.97308,291,132.32725
-200.0,1,132.331825
99.80363,500,132.688895
-278.9689,261,132.887326
-200.0,1,132.891544
-385.12366,855,133.516461
-200.0,1,133.520441
-298.17114,346,133.762849
-200.0,1,133.769773
-289.82812,338,134.058654
-200.0,1,134.063266
-256.04337,269,134.28396
-200.0,1,134.288007
-417.8246,999,134.944978
-200.0,1,134.949028
-320.32318,471,135.236473
-200.0,1,135.241164
-265.62283,398,135.510188
-337.38803,437,135.79288
-200.0,1,135.796285
-200.0,1,135.800106
-260.12463,317,136.029541
-200.0,1,136.036162
-475.31686,812,136.60526
-200.0,1,136.609114
-200.0,1,136.613478
-262.4076,282,136.801958
-200.0,1,136.806155
-246.59991,359,137.051525
-200.0,1,137.05587
-479.29495,1038,137.841218
-473.60516,1037,138.555501
-200.0,1,138.559509
-200.0,1,138.563513
-380.52484,947,139.213578
-200.0,1,139.218194
106.06415,458,139.554886
-261.24973,308,139.781517
-200.0,1,139.78582
-338.7164,439,140.084463
-200.0,1,140.08923
-298.32437,363,140.358257
-386.40942,688,140.861917
-287.5648,372,141.120683
-200.0,1,141.124875
-263.61566,281,141.335703
-200.0,1,141.339792
-247.41379,269,141.54227
-200.0,1,141.546077
-200.0,1,141.549474
-338.43823,452,141.881375
-200.0,1,141.885916
-284.541,627,142.301815
-200.0,1,142.307006
-305.5832,568,142.740804
-200.0,1,142.746738
-460.61566,837,143.289418
-200.0,1,143.29374
-502.21832,1158,144.05613
-200.0,1,144.060373
-267.1166,383,144.357212
-200.0,1,144.361801
-522.17065,1043,145.074145
-200.0,1,145.077939
130.32866,404,145.353019
-246.44951,269,145.548379
-200.0,1,145.552343
165.79831,369,145.798065
-597.84863,1409,146.736291
-200.0,1,146.740488
-200.0,1,146.747248
-326.39905,673,147.170821
-360.61395,606,147.591339
-200.0,1,147.5976
-412.62134,633,148.067776
-548.558,1129,148.788605
-200.0,1,148.793842
-305.05502,401,149.050506
-398.67798,650,149.495326
-200.0,1,149.499791
-265.59283,281,149.707895
-200.0,1,149.713488
128.87567,460,150.052977
-296.2431,490,150.429002
-200.0,1,150.433162
-364.1305,441,150.76001
-290.34677,309,150.998538
-200.0,1,151.002347
-235.4694,295,151.195604
-200.0,1,151.200683
-284.1149,639,151.668525
-200.0,1,151.673033
78.66606,866,152.317968
-411.80408,595,152.75206
-200.0,1,152.757107
140.50731,454,153.088055
-336.43478,523,153.458483
-200.0,1,153.462257
-415.95032,666,153.932391
-200.0,1,153.936672
-403.81317,981,154.593412
-200.0,1,154.597468
-646.964,1208,155.415994
-200.0,1,155.421455
-273.26816,269,155.604614
-200.0,1,155.609143
-380.3625,563,156.017457
-200.0,1,156.021766
-372.77023,587,156.404514
-200.0,1,156.408211
-256.0241,306,156.6097
-200.0,1,156.613637
-200.0,1,156.61706
145.45326,535,157.003675
-448.38214,746,157.523248
-200.0,1,157.527619
-290.8302,356,157.768293
-200.0,1,157.77211
-632.6461,1281,158.623647
-200.0,1,158.627599
-228.8543,253,158.829511
-200.0,1,158.833662
-297.59235,371,159.092555
-200.0,1,159.097187
-605.02,1098,159.930083
-200.0,1,159.935808
105.19074,744,160.455399
153.60805,460,160.748548
-366.74454,492,161.151526
-200.0,1,161.156593
-334.2209,585,161.602402
-200.0,1,161.607057
-257.4873,263,161.806196
-200.0,1,161.810444
-376.69943,653,162.24599
-200.0,1,162.25083
-284.57715,331,162.468715
-200.0,1,162.472773
-673.36597,1239,163.341336
-200.0,1,163.345237
-523.11835,813,163.867783
-200.0,1,163.874628
-355.0182,505,164.250509
-200.0,1,164.254339
-293.4958,339,164.513384
-200.0,1,164.518214
-200.0,1,164.521588
191.15924,220,164.702669
-234.46017,234,164.887436
-200.0,1,164.891974
-660.3894,1275,165.793451
-200.0,1,165.796993
141.07841,341,166.039427
-409.85483,670,166.531507
-200.0,1,166.535594
-348.80792,588,166.945532
-200.0,1,166.949951
-432.2682,699,167.464298
-200.0,1,167.468785
-246.5145,266,167.678751
-200.0,1,167.683146
-443.43857,1001,168.405237
-200.0,1,168.409427
-323.20383,431,168.694883
-200.0,1,168.699485
-312.62704,351,168.94107
-200.0,1,168.94576
-297.30722,325,169.198233
-200.0,1,169.203372
119.599236,349,169.428506
-297.28958,559,169.85739
-200.0,1,169.861505
121.84636,369,170.14266
-408.52686,713,170.718449
-200.0,1,170.722474
-200.0,1,170.726238
-378.1496,639,171.157859
-200.0,1,171.162806
-345.2684,734,171.623167
-200.0,1,171.627288
171.11908,335,171.845927
-263.99408,344,172.059333
-200.0,1,172.064228
-324.77692,691,172.50285
-200.0,1,172.506916
-480.5916,895,173.083542
-200.0,1,173.087232
-604.197,1414,173.953377
-327.90836,457,174.259953
-200.0,1,174.264046
-324.9987,667,174.668563
-200.0,1,174.673357
-445.706,703,175.129624
-200.0,1,175.134248
-295.60547,336,175.346761
-200.0,1,175.351182
-321.33868,582,175.71223
-200.0,1,175.715774
41.43477,957,176.311816
-330.38696,422,176.575541
-200.0,1,176.581121
-307.75092,391,176.818576
-200.0,1,176.822042
-253.73695,319,177.025607
-200.0,1,177.029525
-232.36833,278,177.212048
-200.0,1,177.216919
-311.6225,364,177.45814
-200.0,1,177.462743
-79.28104,1125,178.142418
-352.44638,449,178.415767
-200.0,1,178.421294
-443.13733,704,178.863754
-200.0,1,178.86769
-320.54218,625,179.259381
-200.0,1,179.263524
-545.667,1205,179.974171
-200.0,1,179.980247
-371.73483,707,180.441224
-200.0,1,180.445209
-210.15945,1287,181.249987
-247.46695,271,181.417954
-200.0,1,181.42513
-294.111,620,181.857551
-200.0,1,181.862438
-368.8911,703,182.285708
-200.0,1,182.28945
-342.9767,631,182.676113
-200.0,1,182.680282
-200.0,1,182.683996
-425.02338,718,183.116226
-200.0,1,183.120194
-249.7543,343,183.325909
-200.0,1,183.329573
-200.0,1,183.333066
-382.83966,696,183.779923
-200.0,1,183.784275
-327.99582,397,184.050387
-200.0,1,184.055273
-329.9606,539,184.408043
-200.0,1,184.41198
-239.76508,266,184.589222
-200.0,1,184.59551
-331.76636,672,185.019924
-200.0,1,185.025117
-289.0067,415,185.284125
-200.0,1,185.288657
-250.06044,320,185.480162
-200.0,1,185.485783
-259.94318,350,185.713792
-200.0,1,185.71955
-463.0399,719,186.171922
-200.0,1,186.175961
-456.96524,752,186.61764
-200.0,1,186.621631
-258.92633,390,186.858482
-200.0,1,186.863313
-200.0,1,186.866966
-692.0831,1479,187.779566
-200.0,1,187.783856
157.90768,358,188.030469
62.55391,1006,188.647136
-365.7348,724,189.123694
-200.0,1,189.127732
-236.64278,282,189.324474
-200.0,1,189.330309
114.120346,426,189.599681
-251.43893,320,189.794772
-200.0,1,189.799155
-31.789307,1043,190.454726
-239.11047,307,190.642297
-200.0,1,190.647979
-359.73212,740,191.111623
-200.0,1,191.118556
-383.44638,695,191.571969
-200.0,1,191.57606
-237.50897,257,191.761237
-200.0,1,191.766345
-384.39038,693,192.189367
-200.0,1,192.193351
-573.78894,1131,192.906655
-200.0,1,192.910712
-200.0,1,192.914401
-283.30704,346,193.127789
-200.0,1,193.131488
-200.0,1,193.134919
-346.40546,626,193.574024
-200.0,1,193.578566
-248.20413,351,193.789546
-200.0,1,193.794374
-419.93945,1113,194.508061
-200.0,1,194.512617
-254.22583,293,194.705187
-200.0,1,194.710472
-305.6418,735,195.150437
-200.0,1,195.154317
-458.91318,963,195.758312
-200.0,1,195.762586
-277.9755,338,195.987473
-200.0,1,195.993397
-450.61713,816,196.509083
-200.0,1,196.513298
-250.08032,281,196.691494
-200.0,1,196.696259
-261.63605,366,196.924553
-200.0,1,196.930175
193.3634,234,197.076366
-406.6101,724,197.527204
-200.0,1,197.531074
-258.05414,351,197.758042
-200.0,1,197.762021
-248.55963,306,197.954499
-200.0,1,197.959825
-418.4631,1000,198.554708
-200.0,1,198.558669
-327.3913,459,198.857419
-200.0,1,198.862154
-200.0,1,198.867158
-455.51318,870,199.405857
-200.0,1,199.409739
-243.21954,287,199.601159
-200.0,1,199.605923
-410.2812,1048,200.272619
-200.0,1,200.276522
-243.08688,322,200.474279
-200.0,1,200.478481
98.28056,577,200.822222
-271.0155,350,201.033051
146.09978,436,201.309305
-243.17722,292,201.502219
-200.0,1,201.508027
-387.23956,900,202.07324
-200.0,1,202.077742
-415.75085,1002,202.724932
-200.0,1,202.728877
-305.0399,601,203.133384
-200.0,1,203.137236
-473.25568,1036,203.813183
-200.0,1,203.817849
-246.11823,329,204.011397
-200.0,1,204.016514
-372.89825,582,204.350929
-200.0,1,204.354839
-200.0,1,204.358748
-236.06714,297,204.557766
-200.0,1,204.564232
-310.724,400,204.823826
-200.0,1,204.828393
-361.26648,635,205.245114
-200.0,1,205.248906
-291.05002,415,205.502855
-200.0,1,205.507357
23.82753,880,206.042017
-257.55786,326,206.27307
-200.0,1,206.279571
-274.40308,288,206.475834
-200.0,1,206.481968
-580.10455,1120,207.159611
-200.0,1,207.163453
-200.0,1,207.166822
-315.54517,665,207.622873
-200.0,1,207.627535
-400.969,607,208.043828
-200.0,1,208.047229
-200.0,1,208.050061
-242.43445,285,208.233714
-200.0,1,208.239137
-503.6842,785,208.731057
-200.0,1,208.735436
-200.0,1,208.739538
-403.15924,849,209.279987
-200.0,1,209.28436
-256.86743,331,209.512019
-200.0,1,209.516433
-253.3678,371,209.749543
-200.0,1,209.753341
-463.04236,1083,210.459391
-200.0,1,210.463498
